datetime,datetime,open,high,low,close,volume,amount
2016-02-12 09:00:00,2016-02-12 09:00:00,1244.263,1244.303,1241.133,1241.813,9.99999999999e+11,0.0
2016-02-12 10:00:00,2016-02-12 10:00:00,1241.893,1242.733,1235.393,1238.913,9.99999999999e+11,0.0
2016-02-12 11:00:00,2016-02-12 11:00:00,1238.853,1239.823,1235.803,1237.743,9.99999999999e+11,0.0
2016-02-12 12:00:00,2016-02-12 12:00:00,1237.633,1242.683,1237.433,1241.913,9.99999999999e+11,0.0
2016-02-12 13:00:00,2016-02-12 13:00:00,1241.973,1243.123,1235.613,1237.303,9.99999999999e+11,0.0
2016-02-12 14:00:00,2016-02-12 14:00:00,1237.233,1239.443,1236.233,1238.133,9.99999999999e+11,0.0
2016-02-12 15:00:00,2016-02-12 15:00:00,1238.123,1242.253,1232.663,1235.453,9.99999999999e+11,0.0
2016-02-12 16:00:00,2016-02-12 16:00:00,1235.433,1238.993,1232.463,1238.963,9.99999999999e+11,0.0
2016-02-12 17:00:00,2016-02-12 17:00:00,1238.983,1241.598,1235.353,1237.843,9.99999999999e+11,0.0
2016-02-12 18:00:00,2016-02-12 18:00:00,1237.813,1238.233,1233.023,1237.213,9.99999999999e+11,0.0
2016-02-12 19:00:00,2016-02-12 19:00:00,1237.163,1237.443,1235.423,1236.183,9.99999999999e+11,0.0
2016-02-12 20:00:00,2016-02-12 20:00:00,1236.213,1239.343,1235.773,1238.673,9.99999999999e+11,0.0
2016-02-12 21:00:00,2016-02-12 21:00:00,1238.643,1238.833,1236.163,1238.063,9.99999999999e+11,0.0
2016-02-12 22:00:00,2016-02-12 22:00:00,1238.003,1239.973,1237.413,1237.893,9.99999999999e+11,0.0
2016-02-15 01:00:00,2016-02-15 01:00:00,1235.49,1235.49,1230.523,1233.233,9.99999999999e+11,0.0
2016-02-15 02:00:00,2016-02-15 02:00:00,1233.273,1234.763,1226.453,1227.553,9.99999999999e+11,0.0
2016-02-15 03:00:00,2016-02-15 03:00:00,1227.533,1227.613,1221.663,1223.253,9.99999999999e+11,0.0
2016-02-15 04:00:00,2016-02-15 04:00:00,1223.243,1224.933,1222.113,1224.183,9.99999999999e+11,0.0
2016-02-15 05:00:00,2016-02-15 05:00:00,1224.093,1224.333,1219.713,1220.373,9.99999999999e+11,0.0
2016-02-15 06:00:00,2016-02-15 06:00:00,1220.333,1221.403,1214.413,1220.073,9.99999999999e+11,0.0
2016-02-15 07:00:00,2016-02-15 07:00:00,1220.093,1222.493,1217.763,1219.253,9.99999999999e+11,0.0
2016-02-15 08:00:00,2016-02-15 08:00:00,1219.223,1220.143,1217.163,1219.003,9.99999999999e+11,0.0
2016-02-15 09:00:00,2016-02-15 09:00:00,1219.013,1219.013,1211.463,1211.953,9.99999999999e+11,0.0
2016-02-15 10:00:00,2016-02-15 10:00:00,1211.943,1214.373,1207.603,1209.553,9.99999999999e+11,0.0
2016-02-15 11:00:00,2016-02-15 11:00:00,1209.403,1211.203,1208.263,1208.973,9.99999999999e+11,0.0
2016-02-15 12:00:00,2016-02-15 12:00:00,1208.973,1210.423,1207.443,1209.673,9.99999999999e+11,0.0
2016-02-15 13:00:00,2016-02-15 13:00:00,1209.713,1210.173,1208.313,1209.423,9.99999999999e+11,0.0
2016-02-15 14:00:00,2016-02-15 14:00:00,1209.423,1210.903,1208.033,1208.983,9.99999999999e+11,0.0
2016-02-15 15:00:00,2016-02-15 15:00:00,1208.943,1214.003,1208.603,1211.173,9.99999999999e+11,0.0
2016-02-15 16:00:00,2016-02-15 16:00:00,1211.113,1212.228,1208.943,1209.403,9.99999999999e+11,0.0
